               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.051884,            0.024518,                   0,             0.88334,             0.66667,             0.82474,             0.41087,            0.046603,            0.024689,                   0,            0.001588,            0.001588,            0.067488
                  57,            0.056405,             0.02562,                   0,             0.99539,                   1,               0.995,             0.41828,            0.041613,            0.025651,                   0,           0.0015679,           0.0015679,            0.066868
                  58,            0.049516,            0.023497,                   0,             0.91644,                   1,             0.98317,             0.50943,             0.03765,            0.025738,                   0,           0.0015465,           0.0015465,            0.066246
                  59,            0.053336,            0.024239,                   0,             0.99946,                   1,               0.995,             0.44604,            0.043199,            0.024452,                   0,           0.0015238,           0.0015238,            0.065624
                  60,            0.050657,            0.023551,                   0,             0.95992,             0.99789,              0.9818,             0.63052,             0.04427,            0.023623,                   0,           0.0014999,           0.0014999,               0.065
                  61,            0.054805,            0.025122,                   0,             0.91075,             0.95833,              0.9094,              0.3069,            0.053895,            0.022098,                   0,            0.001475,            0.001475,            0.064375
                  62,            0.061912,            0.021488,                   0,             0.91075,             0.95833,              0.9094,              0.3069,            0.053895,            0.022098,                   0,            0.001449,            0.001449,            0.063749
                  63,            0.062158,            0.020928,                   0,             0.81424,             0.91667,              0.8856,             0.31147,            0.060906,             0.02072,                   0,            0.001422,            0.001422,            0.063122
                  64,            0.062333,             0.02437,                   0,             0.94901,             0.95833,             0.98181,             0.37752,            0.055161,            0.021437,                   0,           0.0013942,           0.0013942,            0.062494
                  65,            0.052595,            0.022542,                   0,              0.9999,                   1,               0.995,             0.55389,            0.038354,            0.023795,                   0,           0.0013655,           0.0013655,            0.061866
                  66,            0.047609,            0.022639,                   0,             0.99926,                   1,               0.995,              0.6125,            0.036801,            0.023595,                   0,           0.0013362,           0.0013362,            0.061236
                  67,            0.047483,            0.026163,                   0,             0.99958,                   1,               0.995,             0.56693,            0.032632,             0.02419,                   0,           0.0013062,           0.0013062,            0.060606
                  68,            0.047133,            0.026311,                   0,             0.85712,             0.99984,             0.94312,             0.48889,            0.046171,            0.021402,                   0,           0.0012757,           0.0012757,            0.059976
                  69,            0.055613,            0.022705,                   0,             0.85712,             0.99984,             0.94312,             0.48889,            0.046171,            0.021402,                   0,           0.0012447,           0.0012447,            0.059345
                  70,            0.055076,             0.02223,                   0,             0.70528,             0.99718,             0.87526,             0.37401,            0.050909,            0.020476,                   0,           0.0012134,           0.0012134,            0.058713
                  71,             0.05287,             0.02456,                   0,             0.92299,             0.99889,             0.96945,             0.54294,            0.041705,            0.021556,                   0,           0.0011818,           0.0011818,            0.058082
                  72,               0.049,            0.019517,                   0,             0.99937,                   1,               0.995,             0.56449,            0.037659,            0.021898,                   0,             0.00115,             0.00115,             0.05745
                  73,            0.054311,            0.026069,                   0,             0.99959,                   1,               0.995,             0.67798,            0.033064,            0.022444,                   0,           0.0011182,           0.0011182,            0.056818
                  74,            0.045289,            0.022188,                   0,             0.99959,                   1,               0.995,             0.67798,            0.033064,            0.022444,                   0,           0.0010864,           0.0010864,            0.056186
                  75,            0.049249,            0.020814,                   0,             0.99992,                   1,               0.995,             0.67231,            0.034311,            0.022022,                   0,           0.0010547,           0.0010547,            0.055555
                  76,            0.041606,            0.023064,                   0,              0.9995,                   1,               0.995,             0.70265,            0.029637,            0.022362,                   0,           0.0010233,           0.0010233,            0.054923
                  77,            0.045199,            0.024384,                   0,             0.99956,                   1,               0.995,             0.62207,            0.031706,            0.021737,                   0,          0.00099214,          0.00099214,            0.054292
                  78,            0.044365,             0.02299,                   0,             0.99956,                   1,               0.995,             0.62207,            0.031706,            0.021737,                   0,          0.00096146,          0.00096146,            0.053661
                  79,            0.049379,             0.02556,                   0,             0.99983,                   1,               0.995,             0.64125,            0.032531,            0.021276,                   0,          0.00093132,          0.00093132,            0.053031
                  80,            0.040513,            0.023218,                   0,             0.99991,                   1,               0.995,             0.62052,            0.031379,            0.021151,                   0,          0.00090182,          0.00090182,            0.052402
                  81,            0.041703,            0.025362,                   0,             0.95974,                   1,              0.9786,             0.65378,             0.02894,            0.021363,                   0,          0.00087307,          0.00087307,            0.051773
                  82,            0.041288,            0.020128,                   0,             0.95974,                   1,              0.9786,             0.65378,             0.02894,            0.021363,                   0,          0.00084516,          0.00084516,            0.051145
                  83,             0.04284,            0.026983,                   0,              0.9598,                   1,              0.9786,             0.65144,            0.028653,            0.021153,                   0,          0.00081821,          0.00081821,            0.050518
                  84,            0.043625,             0.02052,                   0,             0.99967,                   1,               0.995,             0.52031,            0.034091,            0.020425,                   0,          0.00079232,          0.00079232,            0.049892
                  85,            0.040531,            0.023354,                   0,             0.99967,                   1,               0.995,             0.52031,            0.034091,            0.020425,                   0,          0.00076759,          0.00076759,            0.049268
                  86,            0.038877,             0.01998,                   0,             0.99996,                   1,               0.995,             0.51956,            0.033181,            0.020345,                   0,          0.00074413,          0.00074413,            0.048644
                  87,            0.036647,            0.020068,                   0,             0.99967,                   1,               0.995,             0.66116,            0.028425,            0.020534,                   0,          0.00072204,          0.00072204,            0.048022
                  88,            0.041947,            0.021704,                   0,             0.99967,                   1,               0.995,             0.66116,            0.028425,            0.020534,                   0,          0.00070143,          0.00070143,            0.047401
                  89,            0.042383,             0.02066,                   0,             0.99978,                   1,               0.995,             0.65307,            0.029145,            0.020271,                   0,          0.00068239,          0.00068239,            0.046782
                  90,            0.040586,            0.021465,                   0,             0.99989,                   1,               0.995,             0.66486,            0.028603,            0.020242,                   0,          0.00066503,          0.00066503,            0.046165
                  91,            0.040718,            0.020258,                   0,             0.99989,                   1,               0.995,             0.66486,            0.028603,            0.020242,                   0,          0.00064945,          0.00064945,            0.045549
                  92,            0.038412,            0.021446,                   0,             0.99997,                   1,               0.995,             0.60852,            0.028995,            0.020057,                   0,          0.00063575,          0.00063575,            0.044936
                  93,            0.037191,            0.020971,                   0,             0.99978,                   1,               0.995,             0.66506,             0.02607,            0.020086,                   0,          0.00062401,          0.00062401,            0.044324
                  94,              0.0397,            0.024869,                   0,             0.99978,                   1,               0.995,             0.66506,             0.02607,            0.020086,                   0,          0.00061435,          0.00061435,            0.043714
                  95,            0.043572,            0.023193,                   0,             0.99988,                   1,               0.995,             0.68475,            0.025916,            0.019966,                   0,          0.00060686,          0.00060686,            0.043107
                  96,            0.035469,            0.021328,                   0,             0.99988,                   1,               0.995,             0.68475,            0.025916,            0.019966,                   0,          0.00060162,          0.00060162,            0.042502
                  97,            0.037243,            0.022144,                   0,             0.99991,                   1,               0.995,             0.67797,            0.025816,            0.019899,                   0,          0.00059872,          0.00059872,            0.041899
                  98,            0.038358,            0.019257,                   0,                   1,             0.99983,               0.995,             0.69926,            0.027065,            0.019578,                   0,          0.00059827,          0.00059827,            0.041298
                  99,            0.038343,            0.022635,                   0,                   1,             0.99983,               0.995,             0.69926,            0.027065,            0.019578,                   0,          0.00060033,          0.00060033,              0.0407
