               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.028054,           0.0078491,                   0,                   1,                   1,               0.995,             0.72835,            0.024706,           0.0074643,                   0,           0.0050103,           0.0050103,             0.01151
                  52,            0.027047,            0.007285,                   0,                   1,                   1,               0.995,             0.79333,            0.022482,           0.0073029,                   0,           0.0049722,           0.0049722,           0.0096722
                  53,            0.027116,           0.0070114,                   0,             0.99999,                   1,               0.995,             0.77361,            0.021888,           0.0073361,                   0,           0.0049293,           0.0049293,           0.0078293
                  54,            0.024989,           0.0071531,                   0,             0.99999,                   1,               0.995,             0.75148,            0.020614,           0.0072116,                   0,           0.0048817,           0.0048817,           0.0059817
                  55,            0.026752,           0.0073983,                   0,             0.99999,                   1,               0.995,             0.76687,            0.020553,           0.0069988,                   0,            0.004796,            0.004796,            0.004796
                  56,            0.024315,            0.006888,                   0,                   1,                   1,               0.995,             0.80568,            0.019386,           0.0069094,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.025576,            0.006364,                   0,             0.99999,                   1,               0.995,             0.74117,            0.022466,           0.0070748,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.023212,           0.0070417,                   0,                   1,             0.99999,               0.995,             0.77043,            0.019272,           0.0068863,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.024811,           0.0067701,                   0,                   1,             0.99999,               0.995,             0.78528,            0.019143,            0.006896,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.024193,           0.0069714,                   0,                   1,             0.99999,               0.995,             0.76871,            0.017506,           0.0068967,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.022117,           0.0062868,                   0,             0.99999,                   1,               0.995,             0.78345,            0.018144,            0.006694,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.021657,           0.0066921,                   0,                   1,                   1,               0.995,             0.78783,             0.01716,           0.0065768,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.019942,            0.006132,                   0,             0.99999,                   1,               0.995,             0.78677,            0.017035,           0.0064542,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.020204,           0.0062446,                   0,                   1,                   1,               0.995,             0.78907,            0.018372,           0.0064975,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.020712,           0.0060471,                   0,                   1,                   1,               0.995,             0.79266,             0.01702,           0.0064284,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.018258,           0.0059062,                   0,                   1,                   1,               0.995,             0.78497,            0.016807,           0.0062356,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.018669,            0.005777,                   0,             0.99999,                   1,               0.995,              0.8136,            0.017073,           0.0062277,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.016511,           0.0054766,                   0,                   1,                   1,               0.995,             0.80179,            0.016228,           0.0061926,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.018329,           0.0058617,                   0,             0.99999,                   1,               0.995,             0.77073,            0.017415,           0.0061951,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.017349,           0.0056967,                   0,                   1,             0.99999,               0.995,             0.80319,            0.015797,            0.006172,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.018037,           0.0060811,                   0,                   1,                   1,               0.995,             0.80301,            0.016142,           0.0062148,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.018652,           0.0056592,                   0,             0.99999,                   1,               0.995,             0.80185,            0.015779,           0.0061233,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.017087,           0.0055202,                   0,                   1,                   1,               0.995,             0.81332,            0.014776,           0.0060326,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.016471,           0.0056691,                   0,                   1,                   1,               0.995,             0.82766,            0.014563,           0.0059263,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.016629,            0.005424,                   0,                   1,                   1,               0.995,             0.81097,            0.015859,           0.0059773,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.016085,            0.005637,                   0,                   1,                   1,               0.995,             0.81996,            0.014898,           0.0059105,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.015589,           0.0053615,                   0,                   1,             0.99999,               0.995,             0.80484,            0.015043,           0.0059711,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.016103,           0.0056836,                   0,             0.99999,                   1,               0.995,             0.80989,            0.015454,           0.0060603,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.015851,           0.0054577,                   0,                   1,                   1,               0.995,             0.78096,             0.01595,           0.0059837,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.015043,           0.0056181,                   0,             0.99999,                   1,               0.995,             0.81601,            0.014365,           0.0058463,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.014881,           0.0052028,                   0,             0.99999,                   1,               0.995,               0.818,            0.014548,           0.0057975,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.015172,           0.0052284,                   0,             0.99999,                   1,               0.995,             0.82483,            0.014616,           0.0058434,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.014772,            0.005708,                   0,                   1,                   1,               0.995,             0.82668,            0.014457,           0.0058412,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.014355,           0.0051282,                   0,             0.99999,                   1,               0.995,             0.81845,            0.014753,           0.0058393,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.015098,           0.0052856,                   0,             0.99999,                   1,               0.995,              0.8166,            0.014925,           0.0058591,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.014767,           0.0052502,                   0,                   1,                   1,               0.995,             0.81672,            0.014487,           0.0057915,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.014417,           0.0051495,                   0,                   1,             0.99999,               0.995,             0.82354,            0.014307,           0.0058182,                   0,           0.0014283,           0.0014283,           0.0014283
